,Unnamed: 0,date_publish,price_sell,price_per_area,building_age,num_bedrooms,area,id_city,id_neighbourhood,id_sub_neighbourhood,id_location,floor,parking,elevator,storeHouse,toiletF,balcony,is_luxury,is_modern,janitor,master_room,roofGarden,pool,sauna,jacuzzi,alachiq,fountain,security,pasio,idFacing,gym
141,467,2026-06-17,8.1,0.1421052631578947,9.0,2.0,57.0,641,219.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,477,2026-06-17,24.1,0.1912698412698412,1.0,3.0,126.0,641,175.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,479,2026-06-17,31.5,0.225,0.0,3.0,140.0,641,674.0,0.0,0.0,17.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,480,2026-05-04,62.0,0.3263157894736842,9.0,3.0,190.0,641,76.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,481,2026-04-09,57.0,0.5428571428571428,1.0,2.0,105.0,641,193.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,484,2026-05-04,13.5,0.2547169811320754,8.0,1.0,53.0,641,52.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,493,2026-04-15,40.0,0.16,21.0,4.0,250.0,641,266.0,0.0,0.0,7.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,495,2026-04-15,34.9,0.2326666666666666,1.0,3.0,150.0,641,248.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,497,2026-04-15,15.7,0.2616666666666666,5.0,1.0,60.0,641,280.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,498,2026-04-15,32.0,0.2133333333333333,25.0,3.0,150.0,641,266.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,499,2026-04-15,24.0,0.2608695652173913,1.0,2.0,92.0,641,210.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,509,2026-05-13,80.0,0.5925925925925926,1.0,2.0,135.0,641,269.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,513,2026-06-18,11.5,0.1575342465753424,35.0,2.0,73.0,641,169.0,0.0,738849.0,1.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
